17,NYC,PM,BKLYN,mechanical problems,2/27/2019,2/27/2019 6:22:28 PM,8 Av-bound L trains are proceeding with delays after we moved a train with mechanical problems at Halsey St.,bklyn l trains mechanical problems,6:22:28,l,train,
42,NYC,PM,BKLYN,nypd activity,2/27/2019,2/27/2019 5:35:21 PM,Southbound Q trains are proceeding with delays after NYPD responded to reports of a customer altercation at Church Av.,updated: bklyn q trains nypd activity,5:35:21,q,person,
44,NYC,PM,BKLYN,medical problems,2/27/2019,2/27/2019 5:33:41 PM,Broad St-bound J and 71 Av-bound M trains are proceeding with delays after NYPD assisted someone in need of medical assistance at Marcy Av.,bklyn j and m trains medical assistance,5:33:41,"j, m",person,
1,NYC,PM,BKLYN,nypd activity,2/27/2019,2/27/2019 5:23:32 PM,Southbound Q trains are running with delays while NYPD responds to reports of a customer altercation at Church Av.,bklyn q trains nypd activity,5:23:32,q,person,
3,NYC,PM,MANH,struck by train,2/27/2019,2/27/2019 5:21:01 PM,"There are service changes and delays in B and D train service because a person was fatally struck by a train at 155 St. 

Some southbound B and D trains are running express from 161 St-Yankee Stadium to 145 St. 

Southbound B and D trains are bypassing 155 St. 

Expect delays in B and D train service in both directions.",updated: manh b and d trains person struck by train,5:21:01,"b, d",person,
11,NYC,PM,MANH,struck by train,2/27/2019,2/27/2019 5:06:15 PM,"There are service changes and delays in B and D train service because a person was fatally struck by a train at 155 St. 

Some northbound B trains are stopping along the F line from 47-50 Sts-Rockefeller Ctr to Lexington Av-63 St then along the Q line to 96 St. 

Some southbound B and D trains are running express from 161 St-Yankee Stadium to 145 St. 

Southbound B and D trains are bypassing 155 St. 

Expect delays in B, D, F and Q train service in both directions.",updated: manh b and d trains person struck by train,5:06:15,"b, d",person,
30,NYC,PM,MANH,struck by train,2/27/2019,2/27/2019 4:42:12 PM,"There are service changes and delays in B and D train service because a person was struck by a train at 155 St. 

Northbound D trains are running local from 145 St to 167 St. 

Southbound B and D trains are bypassing 155 St. 

Expect delays in B and D train service in both directions.",updated: manh b and d trains person struck by train,4:42:12,"b, d",person,
35,NYC,PM,MANH,brake activation,2/27/2019,2/27/2019 4:33:25 PM,"There are service changes and delays in B and D train service because a train's brakes were activated at 155 St. 

Northbound D trains are running local from 145 St to Tremont Av. 

Southbound B and D trains are bypassing 155 St. 

Expect delay in B and D train service in both directions.",manh b and d trains brakes activated,4:33:25,"b, d",,
45,NYC,PM,MANH,,2/27/2019,2/27/2019 3:36:51 PM,"Southbound A trains have resumed making express stops between 59 St-Columbus Circle and Canal St after our crews removed a dirty car from service at 42 St-Port Authority Bus Terminal. Continue to expect delays in A, C and E train service as congestion clears.",updated: manh a trains dirty car,3:36:51,a,,updated
49,NYC,PM,MANH,unsanitary train,2/27/2019,2/27/2019 3:26:53 PM,"Southbound A trains are running local from 59 St-Columbus Circle to Canal St while our crews remove a dirty car from service at 42 St-Port Authority Bus Terminal. 

Expect delays in A, C and E train service.",manh a trains dirty car,3:26:53,a,train,
33,NYC,PM,MANH,,2/27/2019,2/27/2019 2:28:21 PM,"4 and 5 train service has resumed regular express stops between 125 St and Brooklyn Bridge-City Hall after we fixed a rail near 68 St-Hunter College and Spring St. Continue to expect delays in 2, 3, 4, 5 and 6 train service as congestion clears.",updated: manh 4 and 5 trains rail repair,2:28:21,"4, 5",,updated
48,NYC,PM,MANH,,2/27/2019,2/27/2019 1:52:32 PM,"There are service changes and delays on 4 and 5 trains while we perform urgent track maintenance near 68 St-Hunter College and Spring St.

Some southbound 4 and 5 trains are running local from 125 St or Grand Central-42 St to Brooklyn Bridge-City Hall. 

Some southbound 5 trains are running on the 2 line from 149 St-Grand Concourse to Nevins St. 

Expect delays in 2, 3, 4, 5 and 6 train service.",updated: manh 4 and 5 trains rail repair,1:52:32,"4, 5",,updated
